,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.533,0.278,0.084,1.0,0.001,0.0,112284.0,111235.0,1.0
h_scaled,0.574,0.252,0.152,1.0,0.001,0.0,102767.0,143051.0,1.0
t_scaled,0.503,0.289,0.059,0.999,0.001,0.0,119246.0,96708.0,1.0
w_scaled,0.547,0.251,0.14,1.0,0.001,0.0,104732.0,142170.0,1.0
white_noise,0.001,0.177,-0.337,0.34,0.001,0.0,45935.0,134730.0,1.0
