,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.55,0.277,0.072,0.994,0.019,0.01,185.0,130.0,
h_scaled,0.587,0.249,0.157,0.996,0.014,0.009,304.0,298.0,
t_scaled,0.523,0.281,0.072,0.992,0.012,0.007,578.0,457.0,
w_scaled,0.561,0.251,0.14,0.986,0.014,0.008,335.0,325.0,
white_noise,-0.017,0.175,-0.317,0.326,0.024,0.008,54.0,151.0,
