,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.481,0.191,0.165,0.886,0.036,0.022,27.0,52.0,
h_scaled,0.521,0.132,0.294,0.776,0.024,0.011,34.0,70.0,
t_scaled,0.444,0.181,0.074,0.698,0.081,0.03,5.0,17.0,
w_scaled,0.525,0.139,0.319,0.786,0.033,0.017,18.0,41.0,
white_noise,-0.01,0.094,-0.177,0.148,0.023,0.008,17.0,32.0,
