,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.526,0.28,0.073,0.983,0.015,0.007,345.0,239.0,
h_scaled,0.581,0.258,0.132,0.996,0.016,0.009,253.0,247.0,
t_scaled,0.539,0.288,0.076,0.999,0.013,0.008,456.0,397.0,
w_scaled,0.553,0.254,0.135,0.99,0.016,0.008,267.0,356.0,
white_noise,0.031,0.18,-0.329,0.369,0.021,0.01,72.0,223.0,
