,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.511,0.185,0.168,0.863,0.001,0.001,31051.0,31518.0,
h_scaled,0.534,0.161,0.241,0.851,0.001,0.001,25823.0,27840.0,
t_scaled,0.502,0.192,0.142,0.868,0.001,0.001,29906.0,25769.0,
w_scaled,0.511,0.157,0.224,0.816,0.001,0.001,26627.0,31770.0,
white_noise,-0.001,0.165,-0.312,0.324,0.002,0.001,9472.0,29353.0,
