,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.536,0.279,0.087,1.0,0.001,0.0,106412.0,119133.0,1.0
h_scaled,0.578,0.252,0.156,1.0,0.001,0.0,91064.0,119329.0,1.0
t_scaled,0.504,0.289,0.061,1.0,0.001,0.0,122569.0,129010.0,1.0
w_scaled,0.55,0.249,0.144,1.0,0.001,0.0,92462.0,118736.0,1.0
white_noise,0.001,0.177,-0.337,0.34,0.001,0.0,39630.0,128590.0,1.0
