,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.501,0.301,0.069,0.999,0.023,0.01,179.0,280.0,
h_scaled,0.566,0.252,0.137,0.996,0.014,0.008,277.0,203.0,
t_scaled,0.499,0.301,0.022,0.96,0.018,0.01,269.0,249.0,
w_scaled,0.561,0.256,0.129,0.99,0.016,0.009,291.0,247.0,
white_noise,-0.016,0.171,-0.339,0.328,0.017,0.007,103.0,375.0,
