,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.522,0.277,0.068,0.979,0.015,0.008,305.0,190.0,
h_scaled,0.586,0.258,0.153,0.998,0.019,0.011,210.0,278.0,
t_scaled,0.498,0.28,0.017,0.93,0.016,0.006,297.0,299.0,
w_scaled,0.557,0.253,0.121,0.995,0.016,0.009,273.0,295.0,
white_noise,-0.01,0.172,-0.343,0.293,0.018,0.007,89.0,423.0,
