,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.492,0.285,0.0,0.927,0.008,0.006,1128.0,639.0,
h_scaled,0.516,0.297,0.047,1.0,0.009,0.009,1010.0,332.0,
t_scaled,0.496,0.288,0.052,0.979,0.008,0.006,1160.0,740.0,
w_scaled,0.454,0.289,0.016,0.925,0.008,0.006,1224.0,809.0,
white_noise,0.004,0.161,-0.298,0.317,0.006,0.006,833.0,485.0,
