,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.503,0.281,0.069,0.988,0.021,0.008,183.0,206.0,
h_scaled,0.555,0.242,0.163,0.999,0.013,0.007,365.0,402.0,
t_scaled,0.512,0.283,0.022,0.952,0.02,0.01,154.0,95.0,
w_scaled,0.553,0.258,0.116,0.969,0.015,0.007,318.0,377.0,
white_noise,-0.008,0.198,-0.371,0.39,0.022,0.009,75.0,263.0,
