,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.533,0.276,0.07,0.984,0.019,0.008,212.0,334.0,
h_scaled,0.602,0.252,0.169,0.999,0.016,0.008,251.0,330.0,
t_scaled,0.513,0.291,0.014,0.947,0.013,0.008,564.0,457.0,
w_scaled,0.579,0.251,0.127,0.986,0.016,0.009,234.0,281.0,
white_noise,0.012,0.184,-0.285,0.379,0.015,0.01,150.0,429.0,
