,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.471,0.186,0.097,0.808,0.027,0.019,47.0,45.0,
h_scaled,0.517,0.137,0.268,0.76,0.018,0.01,61.0,113.0,
t_scaled,0.49,0.168,0.116,0.726,0.026,0.017,48.0,41.0,
w_scaled,0.501,0.142,0.209,0.739,0.023,0.014,40.0,60.0,
white_noise,-0.02,0.139,-0.302,0.229,0.032,0.013,18.0,34.0,
