,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.545,0.295,0.064,1.0,0.022,0.01,180.0,157.0,
h_scaled,0.578,0.26,0.142,1.0,0.013,0.008,386.0,383.0,
t_scaled,0.484,0.289,0.013,0.936,0.012,0.007,616.0,545.0,
w_scaled,0.552,0.258,0.118,0.992,0.015,0.009,302.0,323.0,
white_noise,0.006,0.178,-0.318,0.342,0.015,0.007,134.0,429.0,
