,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
eps_scaled,0.54,0.278,0.043,0.946,0.017,0.008,218.0,272.0,
h_scaled,0.581,0.252,0.148,0.99,0.014,0.008,328.0,253.0,
t_scaled,0.499,0.291,0.05,0.973,0.016,0.009,361.0,320.0,
w_scaled,0.565,0.264,0.112,1.0,0.02,0.01,150.0,138.0,
white_noise,0.006,0.177,-0.334,0.324,0.025,0.008,49.0,285.0,
